K,miss_rate,TD_RMSE,Outlier_RMSE,ODPPTD_RMSE,AN_RMSE
1000,0,3.167055785,3.167055785,3.167055785,3.167055785
1000,0,3.167055785,3.167055785,3.167055785,3.167055785
1000,0,3.167055785,3.167055785,3.167055785,3.167055785
1000,0,3.167055785,3.167055785,3.167055785,3.167055785
1000,0,3.167055785,3.167055785,3.167055785,3.167055785
1000,0,3.167055785,3.167055785,3.167055785,3.167055785
1000,0,3.167055785,3.167055785,3.167055785,3.167055785
1000,0,3.167055785,3.167055785,3.167055785,3.167055785
1000,0,3.167055785,3.167055785,3.167055785,3.167055785
1000,0,3.167055785,3.167055785,3.167055785,3.167055785
1000,0,3.167055785,3.167055785,3.167055785,3.167055785
,,,,,
1000,0.02,3.167055785,3.167055785,3.091106939,835.012141
1000,0.02,3.167055785,3.167055785,3.005691496,540.5755535
1000,0.02,3.167055785,3.167055785,3.062709244,459.8101883
1000,0.02,3.167055785,3.167055785,3.148383963,562.008371
1000,0.02,3.167055785,3.167055785,3.255215854,553.3612524
1000,0.02,3.167055785,3.167055785,3.050823672,598.2953847
1000,0.02,3.167055785,3.167055785,3.113940815,861.9475228
1000,0.02,3.167055785,3.167055785,3.185041094,502.0695799
1000,0.02,3.167055785,3.167055785,3.351507042,577.2067451
1000,0.02,3.167055785,3.167055785,3.104860478,280.9151963
1000,0.02,3.167055785,3.167055785,3.13692806,577.1201935
,,,,,
1000,0.04,3.167055785,3.167055785,3.230386334,1103.200832
1000,0.04,3.167055785,3.167055785,3.321212301,758.9705124
1000,0.04,3.167055785,3.167055785,3.384887867,813.4158772
1000,0.04,3.167055785,3.167055785,2.938745356,755.675688
1000,0.04,3.167055785,3.167055785,3.468615971,926.61306
1000,0.04,3.167055785,3.167055785,3.039749336,502.9684714
1000,0.04,3.167055785,3.167055785,2.920705151,852.4902403
1000,0.04,3.167055785,3.167055785,3.265510559,1103.496866
1000,0.04,3.167055785,3.167055785,3.10429496,780.6690432
1000,0.04,3.167055785,3.167055785,3.11911212,773.621467
1000,0.04,3.167055785,3.167055785,3.179321996,837.1122058
,,,,,
1000,0.06,3.167055785,3.167055785,3.280557956,881.6462346
1000,0.06,3.167055785,3.167055785,3.012013213,1003.423165
1000,0.06,3.167055785,3.167055785,2.797292836,922.5261927
1000,0.06,3.167055785,3.167055785,3.419897098,970.4033058
1000,0.06,3.167055785,3.167055785,3.387179653,836.9013342
1000,0.06,3.167055785,3.167055785,3.486867234,797.9536943
1000,0.06,3.167055785,3.167055785,3.393048173,1178.062831
1000,0.06,3.167055785,3.167055785,3.067772069,1102.606164
1000,0.06,3.167055785,3.167055785,3.135715059,1093.59966
1000,0.06,3.167055785,3.167055785,3.335449849,622.4674875
1000,0.06,3.167055785,3.167055785,3.231579314,940.959007
,,,,,
1000,0.08,3.167055785,3.167055785,2.88140891,1547.740807
1000,0.08,3.167055785,3.167055785,3.021664698,1412.753375
1000,0.08,3.167055785,3.167055785,2.923638067,1349.61331
1000,0.08,3.167055785,3.167055785,2.834216385,1213.264572
1000,0.08,3.167055785,3.167055785,3.687469663,705.6756226
1000,0.08,3.167055785,3.167055785,2.818862227,1212.978788
1000,0.08,3.167055785,3.167055785,3.544763181,1602.288985
1000,0.08,3.167055785,3.167055785,3.361855585,964.0932382
1000,0.08,3.167055785,3.167055785,3.477510765,641.2710487
1000,0.08,3.167055785,3.167055785,3.879620076,1160.21283
1000,0.08,3.167055785,3.167055785,3.243100956,1180.989258
,,,,,
1000,0.1,3.167055785,3.167055785,2.922549343,1164.438534
1000,0.1,3.167055785,3.167055785,3.243103397,1385.657031
1000,0.1,3.167055785,3.167055785,3.474341216,570.0971756
1000,0.1,3.167055785,3.167055785,3.554720969,1078.761116
1000,0.1,3.167055785,3.167055785,3.77742643,1028.094338
1000,0.1,3.167055785,3.167055785,3.174077514,664.8365934
1000,0.1,3.167055785,3.167055785,2.966610628,796.3774899
1000,0.1,3.167055785,3.167055785,3.36810236,1078.50956
1000,0.1,3.167055785,3.167055785,3.125345609,1364.375152
1000,0.1,3.167055785,3.167055785,3.11772318,1525.57719
1000,0.1,3.167055785,3.167055785,3.272400065,1065.672418
,,,,,
1000,0.12,3.167055785,3.167055785,2.870118009,1650.35891
1000,0.12,3.167055785,3.167055785,3.539711238,1098.057819
1000,0.12,3.167055785,3.167055785,2.987996818,1410.229462
1000,0.12,3.167055785,3.167055785,3.357669892,1358.113361
1000,0.12,3.167055785,3.167055785,3.156033247,1502.328288
1000,0.12,3.167055785,3.167055785,3.542802723,925.6909105
1000,0.12,3.167055785,3.167055785,3.596818603,1325.049014
1000,0.12,3.167055785,3.167055785,3.706112862,1291.972449
1000,0.12,3.167055785,3.167055785,3.217927971,1162.181667
1000,0.12,3.167055785,3.167055785,2.873964053,1253.576803
1000,0.12,3.167055785,3.167055785,3.284915542,1297.755868
,,,,,
1000,0.14,3.167055785,3.167055785,3.867222725,1221.930792
1000,0.14,3.167055785,3.167055785,3.266944758,1141.655358
1000,0.14,3.167055785,3.167055785,3.178644336,1968.07801
1000,0.14,3.167055785,3.167055785,3.550968572,1502.789046
1000,0.14,3.167055785,3.167055785,3.365831651,1084.137772
1000,0.14,3.167055785,3.167055785,2.803252709,1508.073872
1000,0.14,3.167055785,3.167055785,3.133913687,1228.913929
1000,0.14,3.167055785,3.167055785,3.170905863,1666.057989
1000,0.14,3.167055785,3.167055785,3.730297776,1334.000066
1000,0.14,3.167055785,3.167055785,3.184274223,1285.702256
1000,0.14,3.167055785,3.167055785,3.32522563,1394.133909
,,,,,
1000,0.16,3.167055785,3.167055785,3.284328814,2239.618183
1000,0.16,3.167055785,3.167055785,3.22332413,1819.677727
1000,0.16,3.167055785,3.167055785,3.532913233,1664.283221
1000,0.16,3.167055785,3.167055785,3.49784154,2195.646896
1000,0.16,3.167055785,3.167055785,3.097063682,1848.086122
1000,0.16,3.167055785,3.167055785,3.398016534,1510.909118
1000,0.16,3.167055785,3.167055785,3.968550222,2012.177871
1000,0.16,3.167055785,3.167055785,4.194659414,1460.916969
1000,0.16,3.167055785,3.167055785,3.137183415,1208.007672
1000,0.16,3.167055785,3.167055785,3.955144163,2166.371627
1000,0.16,3.167055785,3.167055785,3.528902515,1812.569541
,,,,,
1000,0.18,3.167055785,3.167055785,3.324997947,1412.423972
1000,0.18,3.167055785,3.167055785,3.040175401,1905.678381
1000,0.18,3.167055785,3.167055785,3.490978554,1321.135792
1000,0.18,3.167055785,3.167055785,3.060686842,1236.03883
1000,0.18,3.167055785,3.167055785,4.136845362,1099.22915
1000,0.18,3.167055785,3.167055785,3.532888766,1115.495371
1000,0.18,3.167055785,3.167055785,3.615983143,1853.323275
1000,0.18,3.167055785,3.167055785,3.938280842,1643.240089
1000,0.18,3.167055785,3.167055785,3.606063512,1543.457775
1000,0.18,3.167055785,3.167055785,4.073693889,1488.771272
1000,0.18,3.167055785,3.167055785,3.582059426,1461.879391
,,,,,
1000,0.2,3.167055785,3.167055785,3.532817873,1392.533169
1000,0.2,3.167055785,3.167055785,2.990001407,1728.345463
1000,0.2,3.167055785,3.167055785,3.469757767,2395.285152
1000,0.2,3.167055785,3.167055785,3.867364845,1686.876454
1000,0.2,3.167055785,3.167055785,3.541850271,1890.826227
1000,0.2,3.167055785,3.167055785,2.891054843,2618.775435
1000,0.2,3.167055785,3.167055785,3.018662312,1634.750482
1000,0.2,3.167055785,3.167055785,2.825666661,1429.567048
1000,0.2,3.167055785,3.167055785,2.973004911,2694.280284
1000,0.2,3.167055785,3.167055785,3.608416909,1650.839748
1000,0.2,3.167055785,3.167055785,3.27185978,1912.207946
